"label_name","x","y","x1_lseg","y1_lseg","x2_lseg","y2_lseg","color"
"Piedmont",405000,4980000,,,,,"#000000"
"Aosta\nValley",360000,5135000,366000,5110000,374000,5075000,"#000000"
"Lombardy",555000,5050000,,,,,"#000000"
"Trentino-\nAlto\nAdige",670000,5140000,,,,,"#000000"
"Veneto",712000,5040000,,,,,"#000000"
"Friuli-\nVenezia\nGiulia",850000,5010000,847000,5042000,835000,5080000,"#000000"
"Liguria",490000,4870000,480000,4880000,470000,4915000,"#000000"
"Emilia-Romagna",662000,4940000,,,,,"#000000"
"Tuscany",672000,4813000,,,,,"#000000"
"Umbria",785000,4750000,,,,,"#000000"
"Marche",850000,4890000,845000,4878000,836000,4840000,"#000000"
"Lazio",791000,4664000,,,,,"#000000"
"Abruzzo",910000,4680000,,,,,"#000000"
"Molise",1010000,4704000,1000000,4692000,990000,4660000,"#000000"
"Campania",976000,4555000,,,,,"#000000"
"Apulia",1143000,4565000,,,,,"#000000"
"Basilicata",1105000,4510000,,,,,"#000000"
"Calabria",1151000,4380000,,,,,"#000000"
"Sicily",955000,4173000,,,,,"#000000"
"Sardinia",503000,4437000,,,,,"#000000"
